law_name,length,obligation,constraint,permission,entitlement,agency_obligation,agency_constraint,agency_permission,agency_entitlement,entity_obligation,entity_constraint,entity_permission,entity_entitlement
PL109_171,4773,30,11,14,37,9,1,9,14,50,22,21,66
PL109_173,6938,28,7,9,27,4,1,1,2,27,16,18,38
