law_name,length,obligation,constraint,permission,entitlement,agency_obligation,agency_constraint,agency_permission,agency_entitlement,entity_obligation,entity_constraint,entity_permission,entity_entitlement
PL101_073,166500,536,519,498,1109,84,46,61,137,745,1177,791,1826
PL102_550_3672,188607,664,552,467,1041,29,26,37,59,1020,1139,603,1860
PL110_289,112029,390,309,255,614,25,20,22,49,625,746,412,1192
PL091_508_1127,33010,101,72,110,252,8,4,2,15,191,220,167,539
PL111_203,366081,1347,880,832,2024,337,201,260,489,2087,2053,1382,3889
PL110_343,72874,288,172,131,430,9,4,9,11,381,339,158,591
PL102_242_2236,67672,266,212,187,417,50,35,42,80,368,487,273,783
PL101_647,80590,217,226,224,473,17,16,27,27,322,468,355,871
